,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-02-19,26.0,0.24813956876456877,0.2445524585773026,-0.4,0.17166666666666666,0.25,0.4125,0.6166666666666667,26.0,0.49917249417249426,0.23442364008716304,0.2,0.2996212121212121,0.5,0.6375000000000001,1.0
2010-02-20,10.0,0.2333809523809524,0.3876266655518074,-0.4,0.14,0.2833333333333333,0.3705357142857143,1.0,10.0,0.5569047619047619,0.18790744761379916,0.3,0.43392857142857144,0.5583333333333333,0.7041666666666667,0.85
2010-02-21,26.0,0.18682109557109558,0.4657943458015588,-0.5,-0.14895833333333333,0.13291666666666668,0.32916666666666666,1.0,26.0,0.4360415545992469,0.1907583723696405,0.1,0.33125000000000004,0.42500000000000004,0.52875,1.0
2010-02-22,31.0,0.17701127725321275,0.31932460740863394,-0.5,-0.06666666666666668,0.16666666666666666,0.44375,0.85,31.0,0.5628300731526539,0.24159657948954494,0.1,0.43257575757575756,0.55,0.725,1.0
2010-02-23,25.0,0.18653571428571433,0.3625958901480715,-0.5,-0.1,0.1625,0.4,1.0,25.0,0.4581547619047619,0.29078926885355566,0.1,0.25,0.4,0.6892857142857143,1.0
2010-02-24,24.0,0.2538751352813853,0.3317644759407217,-0.1555555555555556,-0.050833333333333335,0.1777777777777778,0.5,1.0,24.0,0.4151707551707551,0.2613516767953788,0.1,0.2,0.38333333333333336,0.6,1.0
2010-02-25,19.0,0.2965183792815372,0.36934006728262236,-0.4,0.06875,0.2333333333333333,0.6125,1.0,19.0,0.5264452798663325,0.29373939577919783,0.06666666666666668,0.3333333333333333,0.5072222222222222,0.6916666666666667,1.0
2010-02-26,34.0,0.17623917748917753,0.363869576606416,-0.75,0.029375,0.195,0.4214285714285715,1.0,34.0,0.5261870808929633,0.20515255613885874,0.2,0.4,0.5,0.65,1.0
2010-02-27,18.0,0.1510749859708193,0.2978572765786282,-0.5,0.05885416666666665,0.13068181818181818,0.3,0.75,18.0,0.524905303030303,0.24879416493572815,0.125,0.3916666666666667,0.48854166666666665,0.7125,1.0
2010-02-28,27.0,0.3195927529260863,0.3634823644196233,-0.6,0.13068181818181818,0.25,0.525,1.0,27.0,0.533203062369729,0.21944806384376633,0.1,0.4,0.5,0.7071428571428571,1.0
